"cpc_subclass_id","cpc_subclass_title"
"A63F","Card, board, or roulette games; indoor games using small moving playing bodies; video games; games not otherwise provided for"
"A63G","Merry-go-rounds; swings; rocking-horses; chutes; switchbacks; similar devices for public amusement"
"A63H","Toys, e.g. tops, dolls, hoops or building blocks"
"A63J","Devices for theatres, circuses, or the like; conjuring appliances or the like"
"B01B","Boiling; boiling apparatus ; ; evaporation; evaporation apparatus"
"B01D","Separation"
"B01F","Mixing, e.g. dissolving, emulsifying or dispersing"
"B01J","Chemical or physical processes, e.g. catalysis or colloid chemistry; their relevant apparatus"
"B01L","Chemical or physical laboratory apparatus for general use"
"B02B","Preparing grain for milling; refining granular fruit to commercial products by working the surface"
"B02C","Crushing, pulverising, or disintegrating in general; milling grain"
"B03B","Separating solid materials using liquids or using pneumatic tables or jigs"
"B03C","Magnetic or electrostatic separation of solid materials from solid materials or fluids; separation by high-voltage electric fields"
"B03D","Flotation; differential sedimentation"
"B04B","Centrifuges"
"B04C","Apparatus using free vortex flow, e.g. cyclones"
"B05B","Spraying apparatus; atomising apparatus; nozzles"
"B05C","Apparatus for applying fluent materials to surfaces, in general"
"B05D","Processes for applying fluent materials to surfaces, in general"
"B06B","Methods or apparatus for generating or transmitting mechanical vibrations of infrasonic, sonic, or ultrasonic frequency, ; e.g.;  for performing mechanical work in general"
"B07B","Separating solids from solids by sieving, screening, sifting or by using gas currents; separating by other dry methods applicable to bulk material, e.g. loose articles fit to be handled like bulk material"
"B07C","Postal sorting; sorting individual articles, or bulk material fit to be sorted piece-meal, e.g. by picking"
"B08B","Cleaning in general; prevention of fouling in general"
"B09B","Disposal of solid waste not otherwise provided for"
"B09C","Reclamation of contaminated soil"
"B21B","Rolling of metal"
"B21C","Manufacture of metal sheets, wire, rods, tubes, profiles or like semi-manufactured products otherwise than by rolling; auxiliary operations used in connection with metal-working without essentially removing material"
"B21D","Working or processing of sheet metal or metal tubes, rods or profiles without essentially removing material; punching metal"
"B21F","Working or processing of metal wire"
"B21G","Making needles, pins or nails of metal"
"B21J","Forging; hammering; pressing metal; riveting; forge furnaces"
"B21K","Making forged or pressed metal products, e.g. horse-shoes, rivets, bolts or wheels"
"B22D","Casting of metals; casting of other substances by the same processes or devices"
"B22F","Working metallic powder; manufacture of articles from metallic powder; making metallic powder ; apparatus or devices specially adapted for metallic powder"
"B23B","Turning; boring"
"B23C","Milling"
"B23D","Planing; slotting; shearing; broaching; sawing; filing; scraping; like operations for working metal by removing material, not otherwise provided for"
"B23H","Working of metal by the action of a high concentration of electric current on a workpiece using an electrode which takes the place of a tool; such working combined with other forms of working of metal"
"B23K","Soldering or unsoldering; welding; cladding or plating by soldering or welding; cutting by applying heat locally, e.g. flame cutting; working by laser beam"
"B23P","Metal-working not otherwise provided for; combined operations; universal machine tools"
"B23Q","Details, components, or accessories for machine tools, e.g. arrangements for copying or controlling ; machine tools in general characterised by the construction of particular details or components; combinations or associations of metal-working machines, not directed to a particular result"
"B24B","Machines, devices, or processes for grinding or polishing ; dressing or conditioning of abrading surfaces; feeding of grinding, polishing, or lapping agents"
"B24C","Abrasive or related blasting with particulate material"
"B24D","Tools for grinding, buffing or sharpening"
"B25B","Tools or bench devices not otherwise provided for, for fastening, connecting, disengaging or holding"
"B25F","Combination or multi-purpose tools not otherwise provided for; details or components of portable power-driven tools not particularly related to the operations performed and not otherwise provided for"
"B25G","Handles for hand implements"
"B25H","Workshop equipment, e.g. for marking-out work; storage means for workshops"
"B25J","Manipulators; chambers provided with manipulation devices"
"B26B","Hand-held cutting tools not otherwise provided for"
"B26D","Cutting; details common to machines for perforating, punching, cutting-out, stamping-out or severing"
"B26F","Perforating; punching; cutting-out; stamping-out; severing by means other than cutting"
"B27K","Processes, apparatus or selection of substances for impregnating, staining, dyeing, bleaching of wood or similar materials, or treating of wood or similar materials with permeant liquids, not otherwise provided for ; chemical or physical treatment of cork, cane, reed, straw or similar materials"
"B27M","Working of wood not provided for in subclasses b27b - b27l; manufacture of specific wooden articles"
"B28B","Shaping clay or other ceramic compositions; shaping slag; shaping mixtures containing cementitious material, e.g. plaster"
"B28C","Preparing clay; producing mixtures containing clay or cementitious material, e.g. plaster"
"B28D","Working stone or stone-like materials"
"B29B","Preparation or pretreatment of the material to be shaped; making granules or preforms; recovery of plastics or other constituents of waste material containing plastics"
"B29C","Shaping or joining of plastics; shaping of material in a plastic state, not otherwise provided for; after-treatment of the shaped products, e.g. repairing"
"B29D","Producing particular articles from plastics or from substances in a plastic state"
"B29K","Indexing scheme associated with subclasses b29b, b29c or b29d, relating to moulding materials or to materials for ; moulds, ;  reinforcements, fillers or preformed parts, e.g. inserts"
"B29L","Indexing scheme associated with subclass b29c, relating to particular articles"
"B30B","Presses in general"
"B31B","Making containers of paper, cardboard or material worked in a manner analogous to paper"
"B31D","Making articles of paper, cardboard or material worked in a manner analogous to paper, not provided for in subclasses b31b or b31c"
"B31F","Mechanical working or deformation of paper, cardboard or material worked in a manner analogous to paper"
"B32B","LAYERED PRODUCTS, i.e. PRODUCTS BUILT-UP OF STRATA OF FLAT OR NON-FLAT, e.g. CELLULAR OR HONEYCOMB, FORM"
"B33Y","ADDITIVE MANUFACTURING, i.e. MANUFACTURING OF THREE-DIMENSIONAL [3-D] OBJECTS BY ADDITIVE DEPOSITION, ADDITIVE AGGLOMERATION OR ADDITIVE LAYERING, e.g. BY 3-D PRINTING, STEREOLITHOGRAPHY OR SELECTIVE LASER SINTERING"
"B41C","Processes for the manufacture or reproduction of printing surfaces"
"B41F","Printing machines or presses"
"B41J","TYPEWRITERS; SELECTIVE PRINTING MECHANISMS, i.e. MECHANISMS PRINTING OTHERWISE THAN FROM A FORME; CORRECTION OF TYPOGRAPHICAL ERRORS"
"B41L","Apparatus or devices for manifolding, duplicating or printing for office or other commercial purposes; addressing machines or like series-printing machines"
"B41M","Printing, duplicating, marking, or copying processes; colour printing,"
"B41N","Printing plates or foils ; materials for surfaces used in printing machines for printing, inking, damping, or the like; preparing such surfaces for use and conserving them"
"B41P","Indexing scheme relating to printing, lining machines, typewriters, and to stamps"
"B42B","Permanently attaching together sheets, quires or signatures or permanently attaching objects thereto"
"B42C","Bookbinding"
"B42D","Books; book covers; loose leaves; printed matter characterised by identification or security features; printed matter of special format or style not otherwise provided for; devices for use therewith and not otherwise provided for; movable-strip writing or reading apparatus"
"B43K","Implements for writing or drawing"
"B43L","Articles for writing or drawing upon; ; writing or drawing aids;;  accessories for writing or drawing"
"B43M","Bureau accessories not otherwise provided for"
"B44B","Machines, apparatus or tools for artistic work, e.g. for sculpturing, guilloching, carving, branding, inlaying"
"B44C","Producing decorative effects ; mosaics; tarsia work ; paperhanging"
"B44D","Painting or artistic drawing, not otherwise provided for; preserving paintings; surface treatment to obtain special artistic surface effects or finishes"
"B44F","Special designs or pictures"
"B60B","Vehicle wheels ; castors; axles for wheels or castors; increasing wheel adhesion"
"B60C","Vehicle tyres; tyre inflation; tyre changing; connecting valves to inflatable elastic bodies in general; devices or arrangements related to tyres"
"B60D","Vehicle connections"
"B60F","Vehicles for use both on rail and on road; amphibious or like vehicles; convertible vehicles"
"B60G","Vehicle suspension arrangements"
"B60H","Arrangements of heating, cooling, ventilating or other air-treating devices specially adapted for passenger or goods spaces of vehicles"
"B60J","Windows, windscreens, non-fixed roofs, doors, or similar devices for vehicles; removable external protective coverings specially adapted for vehicles"
"B60K","Arrangement or mounting of propulsion units or of transmissions in vehicles; arrangement or mounting of plural diverse prime-movers in vehicles; auxiliary drives for vehicles; instrumentation or dashboards for vehicles; arrangements in connection with cooling, air intake, gas exhaust or fuel supply of propulsion units in vehicles"
"B60L","Propulsion of electrically-propelled vehicles ; supplying electric power for auxiliary equipment of electrically-propelled vehicles ; electrodynamic brake systems for vehicles in general ; magnetic suspension or levitation for vehicles; monitoring operating variables of electrically-propelled vehicles; electric safety devices for electrically-propelled vehicles"
"B60N","Seats specially adapted for vehicles; vehicle passenger accommodation not otherwise provided for"
"B60P","Vehicles adapted for load transportation or to transport, to carry, or to comprise special loads or objects"
"B60Q","Arrangement of signalling or lighting devices, the mounting or supporting thereof or circuits therefor, for vehicles in general"
"B60R","Vehicles, vehicle fittings, or vehicle parts, not otherwise provided for"
"B60S","Servicing, cleaning, repairing, supporting, lifting, or manoeuvring of vehicles, not otherwise provided for"
"B60T","Vehicle brake control systems or parts thereof; brake control systems or parts thereof, in general ; arrangement of braking elements on vehicles in general; portable devices for preventing unwanted movement of vehicles; vehicle modifications to facilitate cooling of brakes"
"B60W","Conjoint control of vehicle sub-units of different type or different function; control systems specially adapted for hybrid vehicles; road vehicle drive control systems for purposes not related to the control of a particular sub-unit"
"B60Y","Indexing scheme relating to aspects cross-cutting vehicle technology"
"B61B","Railway systems; equipment therefor not otherwise provided for"
"B61D","Body details or kinds of railway vehicles"
"B61L","Guiding railway traffic; ensuring the safety of railway traffic"
"B62B","Hand-propelled vehicles, e.g. hand carts or perambulators; sledges"
"B62D","Motor vehicles; trailers"
"B62H","Cycle stands; supports or holders for parking or storing cycles; appliances preventing or indicating unauthorized use or theft of cycles; locks integral with cycles; devices for learning to ride cycles"
"B62J","Cycle saddles or seats; auxiliary devices or accessories specially adapted to cycles and not otherwise provided for, e.g. article carriers or cycle protectors"
"B62K","Cycles; cycle frames; cycle steering devices; rider-operated terminal controls specially adapted for cycles; cycle axle suspensions; cycle side-cars, forecars, or the like"
"B62L","Brakes specially adapted for cycles"
"B62M","Rider propulsion of wheeled vehicles or sledges; powered propulsion of sledges or ; single-track;  cycles; transmissions specially adapted for such vehicles"
"B63B","Ships or other waterborne vessels; equipment for shipping"
"B63C","Launching, hauling-out, or dry-docking of vessels; life-saving in water; equipment for dwelling or working under water; means for salvaging or searching for underwater objects"
"B63G","Offensive or defensive arrangements on vessels; mine-laying; mine-sweeping; submarines; aircraft carriers"
"B63H","Marine propulsion or steering"
"B63J","Auxiliaries on vessels"
"B64B","Lighter-than air aircraft"
"B64C","Aeroplanes; helicopters"
"B64D","Equipment for fitting in or to aircraft; flight suits; parachutes; arrangement or mounting of power plants or propulsion transmissions in aircraft"
"B64F","Ground or aircraft-carrier-deck installations specially adapted for use in connection with aircraft; designing, manufacturing, assembling, cleaning, maintaining or repairing aircraft, not otherwise provided for; handling, transporting, testing or inspecting aircraft components, not otherwise provided for"
"B64G","Cosmonautics; vehicles or equipment therefor"
"B64U","Unmanned aerial vehicles [uav]; equipment therefor"
"B65B","Machines, apparatus or devices for, or methods of, packaging articles or materials; unpacking"
"B65C","Labelling or tagging machines, apparatus, or processes"
"B65D","Containers for storage or transport of articles or materials, e.g. bags, barrels, bottles, boxes, cans, cartons, crates, drums, jars, tanks, hoppers, forwarding containers; accessories, closures, or fittings therefor; packaging elements; packages"
"B65F","Gathering or removal of domestic or like refuse"
"B65G","Transport or storage devices, e.g. conveyors for loading or tipping, shop conveyor systems or pneumatic tube conveyors"
"B65H","Handling thin or filamentary material, e.g. sheets, webs, cables"
"B66B","Elevators; escalators or moving walkways"
"B66C","Cranes; load-engaging elements or devices for cranes, capstans, winches, or tackles"
"B66F","Hoisting, lifting, hauling or pushing, not otherwise provided for, e.g. devices which apply a lifting or pushing force directly to the surface of a load"
"B67B","Applying closure members to bottles jars, or similar containers; opening closed containers"
"B67C","Cleaning, filling with liquids or semiliquids, or emptying, of bottles, jars, cans, casks, barrels, or similar containers, not otherwise provided for; funnels"
"B67D","Dispensing, delivering or transferring liquids, not otherwise provided for"
"B81B","Microstructural devices or systems, e.g. micromechanical devices"
"B81C","Processes or apparatus specially adapted for the manufacture or treatment of microstructural devices or systems"
"B82B","Nanostructures formed by manipulation of individual atoms, molecules, or limited collections of atoms or molecules as discrete units; manufacture or treatment thereof"
"B82Y","Specific uses or applications of nanostructures; measurement or analysis of nanostructures; manufacture or treatment of nanostructures"
"C01B","Non-metallic elements; compounds thereof; ; metalloids or compounds thereof not covered by subclass c01c"
"C01C","Ammonia; cyanogen; compounds thereof"
"C01D","COMPOUNDS OF ALKALI METALS, i.e. LITHIUM, SODIUM, POTASSIUM, RUBIDIUM, CAESIUM, OR FRANCIUM"
"C01F","Compounds of the metals beryllium, magnesium, aluminium, calcium, strontium, barium, radium, thorium, or of the rare-earth metals"
"C01G","Compounds containing metals not covered by subclasses c01d or c01f"
"C01P","Indexing scheme relating to structural and physical aspects of solid inorganic compounds"
"C02F","Treatment of water, waste water, sewage, or sludge"
"C03B","Manufacture, shaping, or supplementary processes"
"C03C","Chemical composition of glasses, glazes or vitreous enamels; surface treatment of glass; surface treatment of fibres or filaments made from glass, minerals or slags; joining glass to glass or other materials"
"C04B","Lime, magnesia; slag; cements; compositions thereof, e.g. mortars, concrete or like building materials; artificial stone ; ceramics ; refractories; treatment of natural stone"
"C05B","Phosphatic fertilisers"
"C05C","Nitrogenous fertilisers"
"C05D","Inorganic fertilisers not covered by subclasses c05b, c05c; fertilisers producing carbon dioxide"
"C05F","Organic fertilisers not covered by subclasses c05b, c05c, e.g. fertilisers from waste or refuse"
"C05G","Mixtures of fertilisers covered individually by different subclasses of class c05; mixtures of one or more fertilisers with materials not having a specific fertilising activity, e.g. pesticides, soil-conditioners, wetting agents ; fertilisers characterised by their form"
"C06B","Explosives or thermic compositions ; manufacture thereof; use of single substances as explosives"
"C06C","Detonating or priming devices; fuses ; chemical lighters; pyrophoric compositions"
"C07B","General methods of organic chemistry; apparatus therefor"
"C07C","Acyclic or carbocyclic compounds"
"C07D","Heterocyclic compounds"
"C07F","Acyclic, carbocyclic or heterocyclic compounds containing elements other than carbon, hydrogen, halogen, oxygen, nitrogen, sulfur, selenium or tellurium"
"C07G","Compounds of unknown constitution"
"C07H","Sugars; derivatives thereof; nucleosides; nucleotides; nucleic acids"
"C07J","Steroids"
"C07K","Peptides"
"C08B","Polysaccharides; derivatives thereof"
"C08C","Treatment or chemical modification of rubbers"
"C08F","Macromolecular compounds obtained by reactions only involving carbon-to-carbon unsaturated bonds"
"C08G","Macromolecular compounds obtained otherwise than by reactions only involving unsaturated carbon-to-carbon bonds"
"C08H","Derivatives of natural macromolecular compounds"
"C08J","WORKING-UP; GENERAL PROCESSES OF COMPOUNDING; AFTER-TREATMENT NOT COVERED BY SUBCLASSES C08B, C08C, C08F, C08G or C08H"
"C08K","Use of inorganic or non-macromolecular organic substances as compounding ingredients"
"C08L","Compositions of macromolecular compounds"
"C09B","Organic dyes or closely-related compounds for producing dyes ; , e.g. pigments; mordants; lakes"
"C09C","Treatment of inorganic materials, other than fibrous fillers, to enhance their pigmenting or filling properties  ; preparation of carbon black  ; ; preparation of inorganic materials which are no single chemical compounds and which are mainly used as pigments or fillers"
"C09D","Coating compositions, e.g. paints, varnishes or lacquers; filling pastes; chemical paint or ink removers; inks; correcting fluids; woodstains; pastes or solids for colouring or printing; use of materials therefor"
"C09G","Polishing compositions ; ski waxes"
"C09J","Adhesives; non-mechanical aspects of adhesive processes in general; adhesive processes not provided for elsewhere; use of materials as adhesives"
"C09K","Materials for miscellaneous applications, not provided for elsewhere"
"C10B","Destructive distillation of carbonaceous materials for production of gas, coke, tar, or similar materials"
"C10G","Cracking hydrocarbon oils; production of liquid hydrocarbon mixtures, e.g. by destructive hydrogenation, oligomerisation, polymerisation ; recovery of hydrocarbon oils from oil-shale, oil-sand, or gases; refining mixtures mainly consisting of hydrocarbons; reforming of naphtha; mineral waxes"
"C10K","Purifying or modifying the chemical composition of combustible gases containing carbon monoxide"
"C10L","Fuels not otherwise provided for; natural gas; synthetic natural gas obtained by processes not covered by subclasses c10g or c10k; liquified petroleum gas; use of additives to fuels or fires; fire-lighters"
"C10M","Lubricating compositions ; use of chemical substances either alone or as lubricating ingredients in a lubricating composition"
"C10N","Indexing scheme associated with subclass c10m relating to lubricating compositions"
"C11B","Producing, e.g. by pressing raw materials or by extraction from waste materials, refining or preserving fats, fatty substances, e.g. lanolin, fatty oils or waxes; essential oils; perfumes"
"C11C","Fatty acids from fats, oils or waxes; candles; fats, oils or fatty acids by chemical modification of fats, oils, or fatty acids obtained therefrom"
"C11D","Detergent compositions; use of single substances as detergents; soap or soap-making; resin soaps; recovery of glycerol"
"C12C","Beer; preparation of beer by fermentation ; preparation of malt for making beer; preparation of hops for making beer"
"C12F","Recovery of by-products of fermented solutions ; denatured alcohol; preparation thereof"
"C12G","Wine; preparation thereof; alcoholic beverages ; preparation of alcoholic beverages not provided for in subclasses c12c or c12h"
"C12H","Pasteurisation, sterilisation, preservation, purification, clarification or ageing of alcoholic beverages; methods for altering the alcohol content of fermented solutions or alcoholic beverages"
"C12M","APPARATUS FOR ENZYMOLOGY OR MICROBIOLOGY; APPARATUS FOR CULTURING MICROORGANISMS FOR PRODUCING BIOMASS, FOR GROWING CELLS OR FOR OBTAINING FERMENTATION OR METABOLIC PRODUCTS, i.e. BIOREACTORS OR FERMENTERS"
"C12N","Microorganisms or enzymes; compositions thereof; propagating, preserving, or maintaining microorganisms; mutation or genetic engineering; culture media"
"C12P","Fermentation or enzyme-using processes to synthesise a desired chemical compound or composition or to separate optical isomers from a racemic mixture"
"C12Q","Measuring or testing processes involving enzymes, nucleic acids or microorganisms ; compositions or test papers therefor; processes of preparing such compositions; condition-responsive control in microbiological or enzymological processes"
"C12R","Indexing scheme associated with subclasses c12c - c12q, relating to microorganisms"
"C12Y","Enzymes"
"C13K","Saccharides obtained from natural sources or by hydrolysis of naturally occurring disaccharides, oligosaccharides or polysaccharides"
"C14B","Mechanical treatment or processing of skins, hides or leather in general; pelt-shearing machines; intestine-splitting machines"
"C21B","Manufacture of iron or steel"
"C21C","Processing of pig-iron, e.g. refining, manufacture of wrought-iron or steel; treatment in molten state of ferrous alloys"
"C21D","Modifying the physical structure of ferrous metals; general devices for heat treatment of ferrous or non-ferrous metals or alloys; making metal malleable, e.g. by decarburisation or tempering"
"C22B","Production and refining of metals ; pretreatment of raw materials"
"C22C","Alloys"
"C22F","Changing the physical structure of non-ferrous metals and non-ferrous alloys"
"C23C","Coating metallic material; coating material with metallic material; surface treatment of metallic material by diffusion into the surface, by chemical conversion or substitution; coating by vacuum evaporation, by sputtering, by ion implantation or by chemical vapour deposition, in general"
"C23D","Enamelling of, or applying a vitreous layer to, metals"
"C23F","Non-mechanical removal of metallic material from surface ; inhibiting corrosion of metallic material or incrustation in general; multi-step processes for surface treatment of metallic material involving at least one process provided for in class c23 and at least one process covered by subclass c21d or c22f or class c25"
"C23G","Cleaning or de-greasing of metallic material by chemical methods other than electrolysis"
"C25B","Electrolytic or electrophoretic processes for the production of compounds or non-metals; apparatus therefor"
"C25C","Processes for the electrolytic production, recovery or refining of metals; apparatus therefor"
"C25D","Processes for the electrolytic or electrophoretic production of coatings; electroforming; apparatus therefor"
"C25F","Processes for the electrolytic removal of materials from objects; apparatus therefor"
"C30B","Single-crystal growth ; unidirectional solidification of eutectic material or unidirectional demixing of eutectoid material; refining by zone-melting of material ; production of a homogeneous polycrystalline material with defined structure ; single crystals or homogeneous polycrystalline material with defined structure; after-treatment of single crystals or a homogeneous polycrystalline material with defined structure ; apparatus therefor"
"C40B","Combinatorial chemistry; libraries, e.g. chemical libraries"
"D01B","Mechanical treatment of natural fibrous or filamentary material to obtain fibres of filaments, e.g. for spinning"
"D01C","Chemical or biological treatment of natural filamentary or fibrous material to obtain filaments or fibres for spinning; carbonising rags to recover animal fibres"
"D01D","Mechanical methods or apparatus in the manufacture of artificial filaments, threads, fibres, bristles or ribbons"
"D01F","Chemical features in the manufacture of artificial filaments, threads, fibres, bristles or ribbons; apparatus specially adapted for the manufacture of carbon filaments"
"D01G","Preliminary treatment of fibres, e.g. for spinning"
"D01H","Spinning or twisting"
"D02G","Crimping or curling fibres, filaments, threads, or yarns; yarns or threads"
"D03D","Woven fabrics; methods of weaving; looms"
"D03J","Auxiliary weaving apparatus; weavers' tools; shuttles"
"D04B","Knitting"
"D04C","Braiding or manufacture of lace, including bobbin-net or carbonised lace; braiding machines; braid; lace"
"D04H","Making textile fabrics, e.g. from fibres or filamentary material ; fabrics made by such processes or apparatus, e.g. felts, non-woven fabrics; cotton-wool; wadding ; ; non-woven fabrics from staple fibres, filaments or yarns, bonded with at least one web-like material during their consolidation"
"D05C","Embroidering; tufting"
"D05D","Indexing scheme associated with subclasses d05b and d05c, relating to sewing, embroidering and tufting"
"D06B","Treating textile materials using liquids, gases or vapours"
"D06F","Laundering, drying, ironing, pressing or folding textile articles"
"D06L","Dry-cleaning, washing or bleaching fibres, filaments, threads, yarns, fabrics, feathers or made-up fibrous goods; bleaching leather or furs"
"D06M","Treatment, not provided for elsewhere in class d06, of fibres, threads, yarns, fabrics, feathers or fibrous goods made from such materials"
"D06N","Wall, floor, or like covering materials, e.g. linoleum, oilcloth, artificial leather, roofing felt, consisting of a fibrous web coated with a layer of macromolecular material; flexible sheet material not otherwise provided for"
"D06P","Dyeing or printing textiles; dyeing leather, furs or solid macromolecular substances in any form"
"D10B","Indexing scheme associated with sublasses of section d, relating to textiles"
"D21B","Fibrous raw materials or their mechanical treatment"
"D21C","Production of cellulose by removing non-cellulose substances from cellulose-containing materials; regeneration of pulping liquors; apparatus therefor"
"D21F","Paper-making machines; methods of producing paper thereon"
"D21G","Calenders; accessories for paper-making machines"
"D21H","Pulp compositions; preparation thereof not covered by subclasses d21c or d21d; impregnating or coating of paper; treatment of finished paper not covered by class b31 or subclass d21g; paper not otherwise provided for"
"E01B","Permanent way; permanent-way tools; machines for making railways of all kinds"
"E01C","Construction of, or surfaces for, roads, sports grounds, or the like; machines or auxiliary tools for construction or repair"
"E01D","Construction of bridges, ; elevated roadways;  or viaducts; assembly of bridges"
"E01F","Additional work, such as equipping roads or the construction of platforms, helicopter landing stages, signs, snow fences, or the like"
"E01H","Street cleaning; cleaning of permanent ways; cleaning beaches; dispersing ; or preventing;  fog in general ; cleaning street or railway furniture or tunnel walls"
"E02B","Hydraulic engineering"
"E02D","Foundations; excavations; embankments ; underground or underwater structures"
"E02F","Dredging; soil-shifting"
"E03B","Installations or methods for obtaining, collecting, or distributing water"
"E03C","Domestic plumbing installations for fresh water or waste water ; sinks"
"E03D","Water-closets or urinals with flushing devices; flushing valves therefor"
"E03F","Sewers; cesspools"
